,manhattan,tip,dist,speed,pass
158330,1,1,2,4,1
158967,2,1,3,3,1
159191,2,4,1,1,1
159327,2,1,2,3,1
159349,2,1,1,2,1
159455,2,5,1,1,2
159458,2,1,1,2,1
159490,1,1,1,1,1
159563,1,1,1,1,2
160411,1,3,1,1,1
160917,1,3,3,2,1
161426,1,3,5,3,1
162213,1,1,1,1,1
162224,2,4,2,2,3
162308,1,1,2,1,1
162362,1,3,3,4,2
162468,1,1,3,3,1
163320,1,4,2,6,1
164357,2,3,2,2,1
164457,2,1,2,1,1
164528,2,3,2,2,2
164701,1,1,5,3,1
165157,1,1,1,1,1
165348,1,6,6,4,1
165381,1,4,2,1,1
166015,1,1,2,2,1
166039,1,5,6,3,1
166052,1,1,3,3,3
166518,2,1,1,1,1
166545,2,1,1,1,1
166564,2,1,3,3,1
166588,2,5,1,1,3
166677,1,4,3,2,1
167412,2,1,1,2,1
167463,2,1,2,2,1
168338,1,1,4,5,1
168444,1,1,3,4,2
168514,1,4,1,6,1
168616,1,1,2,4,4
169535,2,3,2,3,1
169682,2,1,1,2,1
170028,1,3,6,5,1
170495,2,1,1,1,1
171748,2,2,3,3,2
171847,1,4,1,1,4
171945,2,3,2,2,2
171949,2,3,1,2,2
172647,2,3,2,2,2
173556,1,2,2,4,2
173916,1,1,4,3,1
174700,2,2,4,3,1
174844,2,3,5,4,1
174941,2,4,1,2,3
175007,2,4,1,2,2
175141,1,1,5,3,1
176062,1,1,1,1,1
176957,2,3,2,1,1
176967,2,3,2,1,1
177263,2,5,1,3,1
177300,1,1,1,1,1
177732,1,1,6,3,1
178076,1,1,2,1,1
178326,2,3,5,5,2
178958,1,1,1,1,1
179028,1,1,5,2,1
179868,2,4,3,2,1
180191,2,6,1,1,4
180236,1,4,2,4,3
181116,1,1,3,2,1
181917,1,1,2,2,4
182037,2,3,2,1,3
182079,2,2,1,1,1
182439,2,2,1,1,1
182980,2,1,1,2,1
182999,2,6,5,4,1
183015,2,3,2,2,1
183924,1,1,2,3,1
184126,1,2,1,3,1
184178,1,1,2,2,1
184832,2,3,2,2,1
185092,2,3,1,2,2
185103,2,1,1,1,1
185231,2,3,1,2,2
185309,2,2,1,1,1
185402,1,2,5,5,1
185985,2,2,2,1,1
186410,1,6,3,4,4
186732,1,1,6,5,1
186837,1,3,3,6,4
187092,1,1,6,4,1
187253,2,2,2,1,1
187355,1,1,2,2,2
187588,2,1,3,2,1
189141,1,1,5,4,3
189429,1,1,2,2,1
190029,2,4,4,3,1
190521,2,1,1,1,1
190594,1,1,1,1,1
190653,1,5,3,4,1
191231,2,1,2,2,1
191629,1,4,3,5,1
191783,2,1,4,4,1
192818,1,4,6,6,1
193288,1,1,1,2,1
193328,2,4,2,2,2
193628,1,1,2,1,1
193832,2,1,3,3,1
193852,2,3,1,1,4
194509,1,2,1,2,1
195462,2,3,1,1,2
195602,2,3,1,2,2
195632,2,1,2,2,1
195677,2,1,1,2,1
195750,2,5,1,1,2
197551,1,1,5,4,4
197722,1,1,1,2,1
197748,1,3,6,4,2
197869,2,2,1,2,2
197980,2,2,2,2,1
198516,2,5,1,2,2
198972,1,1,4,6,1
200090,1,1,6,3,1
201996,1,1,6,6,1
201998,1,1,2,4,1
202375,1,2,5,5,1
202837,2,3,1,2,1
202965,1,1,3,1,1
203052,2,1,1,2,1
203121,2,1,1,2,1
203626,1,4,3,2,1
203741,2,6,1,1,4
203855,1,2,1,2,1
203927,1,4,1,2,1
204200,2,1,4,3,1
204201,2,5,3,4,1
205308,1,1,6,2,2
205884,1,1,6,6,1
205973,2,3,3,2,1
206720,2,1,1,1,1
207300,2,3,6,3,2
207359,2,6,1,2,3
275527,1,5,1,1,2
275899,1,1,1,1,1
275940,1,1,5,5,1
276276,2,3,1,2,1
276431,1,1,1,2,2
277020,1,1,4,4,1
277367,1,1,3,4,4
277380,1,1,1,4,1
277452,1,4,5,5,2
277778,1,1,6,4,1
278361,2,3,1,1,1
278402,2,1,1,2,1
278415,2,1,1,2,1
279180,1,1,6,5,2
279873,2,2,4,4,1
280520,2,1,1,1,1
281980,2,2,1,1,1
283372,2,2,1,2,1
283590,2,3,1,1,2
283659,1,3,1,2,1
283692,2,1,3,2,1
283906,1,4,1,1,1
283960,1,4,3,2,1
284480,2,2,1,1,1
284796,1,3,3,4,4
284978,1,4,3,3,2
285100,2,4,6,3,2
285122,1,4,6,4,1
285554,1,1,6,3,1
285820,2,1,2,1,1
286037,2,1,1,2,1
286055,2,1,2,2,1
286084,2,1,2,3,1
286119,2,4,1,1,3
286615,1,1,2,1,2
286653,2,4,1,2,3
287734,1,3,6,4,1
287930,1,1,2,4,1
288020,1,1,1,1,1
288252,1,1,6,6,1
288532,2,1,5,5,3
288551,2,1,1,1,1
288556,2,6,1,1,3
288770,2,6,1,2,3
288927,2,1,2,3,1
289016,2,5,1,1,3
289058,2,1,1,2,1
289062,2,6,1,1,3
289298,1,1,6,5,1
289548,1,1,6,6,1
289665,2,1,2,1,1
290253,2,4,6,5,1
290303,2,5,2,6,2
290412,1,1,6,6,2
290700,1,1,6,6,1
290889,2,1,1,1,1
290932,2,2,1,1,1
290965,2,2,1,2,1
291002,2,2,1,1,1
291252,2,3,1,2,1
291314,1,1,6,6,1
291458,1,1,4,4,2
291844,2,3,1,2,2
291983,1,3,1,1,1
292367,2,5,6,4,1
292370,2,5,4,4,4
292374,2,4,4,3,2
292970,1,1,1,3,3
293258,1,2,6,3,2
294069,2,5,4,2,4
294205,2,1,2,2,1
294588,1,1,5,5,1
294976,1,1,1,1,1
295294,1,1,1,2,1
295346,1,1,4,4,1
295468,2,5,6,4,1
296072,2,3,1,1,1
296117,2,4,2,1,2
296642,1,3,5,5,1
297512,2,1,4,3,1
298586,1,1,6,6,1
298924,2,4,1,2,2
299100,2,1,3,2,1
299109,2,3,3,2,2
299430,2,1,1,1,1
299628,1,1,6,6,1
300014,1,1,1,1,1
300045,2,4,2,2,2
300087,2,4,1,1,2
300493,1,1,1,1,1
300818,1,1,2,1,1
300826,1,4,5,6,1
301300,2,2,1,1,1
301329,2,4,1,1,2
301620,2,4,1,2,4
301682,1,1,6,4,1
302212,2,1,1,3,1
302234,2,2,3,2,1
302709,2,3,2,3,1
303588,1,4,5,4,1
303626,1,1,6,4,1
304065,2,1,2,2,1
304395,1,1,1,1,1
304500,2,1,1,2,1
304535,2,6,4,3,3
304706,1,4,5,5,1
305855,2,1,2,4,1
306460,2,1,3,2,1
306486,2,2,1,1,1
306557,2,1,3,2,1
306728,2,1,3,2,1
306846,2,1,2,2,1
307318,1,4,2,2,1
308470,1,3,6,6,3
309652,2,1,1,1,1
309653,2,1,3,5,1
309798,2,3,1,1,1
310976,2,1,6,5,1
311546,1,1,5,3,1
311989,2,2,1,2,1
312030,2,2,2,1,1
312560,2,3,3,2,2
312564,2,3,1,2,1
313064,2,3,4,4,1
313490,1,3,5,5,1
313654,1,4,6,6,1
315566,1,1,1,2,1
315597,2,1,2,2,1
315650,1,5,4,3,3
316854,2,2,1,1,1
317097,2,1,3,2,1
317173,2,4,1,2,2
317210,2,3,2,1,2
318026,1,1,4,4,1
318248,2,1,4,4,1
319616,2,2,2,2,1
320901,1,4,2,1,2
321084,1,1,3,6,1
321993,2,2,1,1,1
322065,2,1,1,1,1
322068,2,3,2,2,1
322069,2,5,1,1,3
322138,1,1,1,1,1
322285,2,3,2,2,2
322322,2,1,3,3,1
322983,2,2,2,2,1
324134,1,5,2,3,1
324820,2,1,4,3,1
325062,2,2,1,1,1
325131,1,1,1,3,1
325160,2,2,1,2,1
326700,1,1,6,5,1
327181,2,3,1,1,2
327221,2,3,2,1,1
327508,2,1,4,3,1
328178,1,1,3,3,1
328412,1,1,2,1,1
328658,2,3,4,4,1
328775,1,2,6,4,1
329278,1,1,1,1,1
329652,1,1,5,6,1
330245,2,1,2,2,1
330416,2,1,2,1,1
330458,2,3,2,2,2
330660,1,4,5,3,1
331562,1,6,2,2,2
399241,1,4,1,1,1
400113,2,1,1,2,1
400132,2,3,3,2,1
400664,1,1,2,2,2
400693,2,3,1,2,2
401192,2,1,4,3,1
401508,1,1,6,6,1
401780,1,2,6,4,1
401914,1,1,5,3,1
402573,2,6,4,3,2
403138,1,3,1,1,1
403150,1,4,4,2,2
403210,1,4,1,1,1
403240,1,1,1,2,1
404532,1,1,5,5,1
405053,2,5,2,2,3
405092,1,1,2,2,2
405229,2,1,1,2,1
405434,1,1,2,4,1
405836,1,4,4,2,1
407110,1,1,2,1,1
407412,1,1,6,5,1
407789,2,2,4,2,1
407790,2,1,1,1,1
408196,2,4,2,2,2
408231,2,1,1,2,1
408303,2,5,2,2,3
408368,1,1,1,1,1
408901,2,1,1,2,1
408935,2,3,3,3,1
408982,1,4,2,2,1
409322,1,1,3,3,1
409428,1,2,5,3,2
410023,1,4,2,1,2
410412,2,1,1,2,2
410525,2,1,1,2,1
410535,2,1,1,2,1
410639,1,1,1,2,4
411194,1,1,3,3,1
411333,1,1,5,3,1
411599,2,4,4,4,1
412202,1,6,1,2,3
412471,1,1,2,2,1
412778,1,1,6,2,1
413148,2,1,2,3,1
413301,2,4,4,3,1
413327,2,2,1,2,1
413402,2,6,2,3,4
414657,2,1,6,4,1
415207,1,4,2,1,4
415708,2,1,2,2,1
416306,1,1,2,3,1
416556,1,2,6,4,1
416789,2,4,2,3,1
417170,1,1,4,4,1
417204,1,1,3,5,1
417890,1,1,6,1,4
418516,2,6,1,1,3
418599,2,1,1,2,1
419220,1,1,5,4,1
419309,2,6,1,1,2
419392,1,1,1,1,2
419508,1,1,6,6,2
419690,1,1,3,3,1
419703,1,1,3,2,4
419762,1,3,4,3,3
419796,1,1,5,4,4
